A,B,C,D,E,F
GoldenBird85,SunnyBeach79,LuckyCat62,TechnoRat93,MysticButterfly41,FunkyKangaroo77
FluffyKitty90,HappyPuppy74,SilverSurfer85,NinjaTurtle56,MagicalUnicorn42,RainbowDragon79
WonderfulWombat63,LivelyLlama75,MythicalMermaid47,EnchantedElephant82,WhimsicalButterfly59,IncredibleIguana91
AmazingAardvark72,JubilantJaguar65,VibrantVulture53,MysteriousMongoose80,FierceFirebird48,RadiantRhino70
SuperStarfish75, MarvelousMarmoset62,MirthfulManta67,TalentedToucan89,GracefulGiraffe51,FabulousFlorapus74
BrilliantBear78,PlayfulPenguin61,LuminousLemur54,WondrousWallaby87,CharmingChipmunk46,AmazingAlbatross75
ImpressiveIguana83,DelightfulDeer69,IncredibleIbis71,MarvelousMunchkin85,FascinatingFox49,RemarkableRaccoon76
AdmirableAnteater70,CheerfulChameleon64,TenaciousTiger57,FabulousFennecfox81,WiseOldWolf45,GrandioseGoat73
MagnificentMynah82,EnchantingEel65,SplendidSalamander58,IntriguingIguana79,FancifulFirefly43,IngeniousImpala77
GorgeousGazelle75,WhimsicalWarthog68,LovelyLizard56,TantalizingTapir81,FascinatingFrog44,SublimeSnail73
