A,B,C,D,E,F
Groggle321,Flargle904,Flibberdigibbet678,Wizzlepoodle753,Snazzlewhumpus921,Jigglepuff617
Flossiepickles143,Pocketflimflam728,Higgledyhoo916,Tickletoe789,Whimsywoollenightingale524,Moonbeammoussemagic857
Gizmojigger102,Fandangoinkwell755,Whistlewit789,Rustycarpetfrog432,Twirlytutu748,Sprinklemagic912
Fuzzyflapjack789,Snooklebuggalore654,Bouncybubblesnort723,Glittergloopernuts567,Chuckleflapper689, Sparkleglamour859
Snapdragonblossom748,Funkytownflicker690,Rainbowrattletails778,Pixiefanciful754,Glimmergloryhole889,Shimmeringsilkheart902
Gigglesnout789,Starlightsputnik765,Moonbeamsnarwhal654,Rainbowunicornglop789,Fantasticalflibbertigibbet567,Twinklingtiara859
Fizzypop748,Sillysnowflake689,Whimsicalwhirlpool778,Glittersplash789,Shimmeringsunbeam654,Rainbowconnection859
Florriepicklesnout748,Floatingfeatherduster789,Whisperingwillow765,Twinklingturtley789,Glimmeringgloryhole889,Sparklingseafoam754
Goldengranny748,Fancyfrosting789,Lovelylavenderfields765,Twinklingtides789,Sparklingseaside754,Mysticalmoonshine859
Flutterbyfairy748,Sparklestardust789,Mirthfulmushroom765,Rainbowribbon789,Shimmeringsilverlining859,Glowinggemstone754
