A,B,C,D,E,F
FastCarrot523,SunnyBeach847,CuriousKitty901,TastyPizza654,LivelyParty235,GoldenParadise178
PlayfulPenguin213,HappyHippo946,AdventurousAardvark721,MysteriousMothball590,ExoticElephant372,ShimmeringStormcloud191
CraftyCatfish752,JubilantJellyfish567,InnovativeIguana938,RadiantRaccoon421,VictoriousVulture273,SpectacularSquid119
CreativeCrab789,ConfidentCobra542,IntelligentImpala917,PowerfulPython321,EnthusiasticEel175,AmazingAmbassador149
AgileAntelope853,GratefulGiraffe592,SpiritedSalamander104,BrilliantButterfly718,UnforgettableUnicorn221,WondrousWombat976
KindKangaroo452,ThoughtfulTiger913,FearlessFlamingo135,BountifulBadger341,HarmoniousHedgehog257,RadiantRaven199
PlayfulPorcupine792,EagerEmu963,ResourcefulRattlesnake581,CharmingChipmunk371,SparklingSnail169,InspiringIbis133
MagnificentMongoose824,AwesomeAlbatross759,MarvelousMuntjac914,Awe-InspiringAlligator576,RemarkableRaccoon231,TerrificToucan105
CheerfulChimpanzee643,ExcellectEchidna785,IntriguingIguana948,DelightfulDragonfly521,VibrantVulture147,SplendidSquirrel892
FabulousFalcon799,MajesticMynah652,ImpressiveIpsiLizard545,CaptivatingCaterpillar383,GorgeousGull629,DazzlingDeer767
