A,B,C,D,E,F
SparklyPineapple,FuzzySquirrel,GlitteringUnicorn,WhimsicalWand,ShimmeringStars,TwinklingTelescope
RainbowDragon,MysticalMermaid,EnchantedForest,GlowingComet,StarryNightSky,MagicalMoonbeam
CosmicCaterpillar,FantasticalFirefly,LuminousLake,GlimmeringGoldenGate,RadiantRainbowRiver,ShimmeringSpectrumSunset
CharmingChameleon,MythicalMelody,GlisteningGeyser,SparklingSnowflake,LuminousLilyPad,GlowingGardenias
MysteriousMansion,WhimsicalWindChime,EnchantedElmTree,GlitteringGoldfish,ShimmeringSeaTurtle,TwinklingTikiTorches
GlowingGeode,MajesticMushroom,RainbowRaccoon,FantasticFairy,ShiningStarfish,LuminousLollipop
FuturisticFlutterby,MythicalMothership,GalacticGemstone,IntergalacticInsect,CosmicCometTail,NeonNebulaNoodle
GlimmeringGhost,MysticalMist,WhisperingWinds,SparklingSpiderWeb,LuminousLilypad,ShimmeringShatteredShatter
MysticalMaelstrom,GlowingGargoyle,RainbowRift,FantasticalFjord,ShimmeringSpectrumSunrise,TwinklingTidalTreasures
CharmingChimera,MythicalMaelstrom,EnchantedElixir,GlimmeringGemstone,ShiningSphereOfProtection,LuminousLagoonOfWonders
