A,B,C,D,E,F
yugeb0t25,hgmnb483,njvw927,fkefl651,pqrst702,ghjkl910
cdefghj,ikmnoqr,astbdua,efghtuv,wnadfcs,oblmlkj
jgdfsgda,klmnopq,tyuiopas,qwertyui,cvbnmosp,gfdsaklt
klnjasd,fedcsvba,ehrdtufo,asdfghij,kmnohygt,pqretzyx
zxcvbnm,ghjklzx,cthesdf,iouytrew,qwertyui,poiuygh
dfghjka,lmnoqwer,pqrtsdfa,bvaerztu,yuctasdf,kcuowrtx
ghjklzx,asdfghij,mnbvcxz,qwertyui,tfghyuj,pqretzyx
zxcvsdft,qwertyui,mnemonicsdf,ghjklzx,cvbnmosp,dfghjka
dfghjkls,asdfghij,tyuiopasdf,qwertyui,hgmnb483,pqretzyx
ghjklzx,efghtuvb,astbduaq,qwertyui,njvw927,klmnopq
