A,B,C,D,E,F
FastRide342,CoolVibes908,SweetTunes756,QuickFiesta310,GroovyBeats879,HappyJams561
LovelyLullaby854,CheerfulMelody732,WhimsicalWaltz491,JoyousJam710,BlissfulBoogie647,MerryMarch535
BouncyBeat911,GleefulGiggle680,ChirpyChorus469,RadiantRhythm753,BubblyBoogie541,PlayfulPulse826
PeppyPiano703,BrightBassline612,SprightlySaxophone471,VibrantVocalist954,LivelyLyrics728,EnthusiasticEnsemble802
SultrySongbird889,SlickSoulMusic657,SpicySalsa548,SwankySamba436,FieryFunk709,IncandescentInstrumental927
VivaciousVoice865,CharmingChoruses644,BoldBasslines532,ElatedElectronica910,GracefulGuitar876,RhapsodicRiffs759
JubilantJazz776,SparklingSymphony653,FlirtatiousFusion549,RadiantRock702,BlissfulBrass779,ThrillingTimpani852
BreezyBlues685,SultrySoulMusic763,WhimsicalWinds548,LivelyLatin826,SoothingStrings739,RousingReeds802
EffervescentEuphoria862,CatchyCountry803,VerdantVocals549,BollywoodBeats910,LivelyLilt753,HarmoniousHarpies827
LuminousLoveSong892,SpectacularSoundtrack767,MelodicMetal738,InspiringIdeas910,UpliftingOrchestra779,RomanticRhapsody858
