A	B	C	D	E	F
fqwertyujnk	opslkjhgfds	cvbnm,erytghjsdf	qwertyuiopasdf	zxcvbnmqwertyuiop	asdfghijklmnop
ghjerklolpmua	dfcbaehrgfds	eriuytrewqwe	poiuytrewqwe	bdfghekujhgfs	vdfghijklpmno
fgsdhnjkaelp	qweertyuiopls	asdfghjiokml	zxcvbnmggfds	rtyuiopksadasdf	uhmncdfgabjef
jklmnopqwerty	dfcbaehrgfds	cvbnmtruyjsdf	qwertyuiopasdf	zxcvbnmghijksdf	asdfghiklmnoq
fgsdhnjklaep	poiuytrewqwe	eriuytrewqwe	zxcvbnmghijksdf	bdfghekujhgfs	dfcbaehrgfds
qweertyuiopls	dfcbaehrgfds	cvbnmtruyjsdf	poiuytrewqwe	zxcvbnmghijksdf	uhmncdfgabjef
fgsdhnjkaelp	dfcbaehrgfds	eriuytrewqwe	poiuytrewqwe	bdfghekujhgfs	vdfghijklpmno
jklmnopqwerty	dfcbaehrgfds	cvbnmtruyjsdf	zxcvbnmghijksdf	zxcvbnmghijksdf	asdfghiklmnoq
fgsdhnjklaep	poiuytrewqwe	eriuytrewqwe	poiuytrewqwe	bdfghekujhgfs	dfcbaehrgfds
qweertyuiopls	dfcbaehrgfds	cvbnmtruyjsdf	zxcvbnmghijksdf	zxcvbnmghijksdf	uhmncdfgabjef
