A,B,C,D,E,F
FastCar893,SunnyBeach754,LovelyPark621,TastyCake342,SweetMusic209,GreenForest111
FluffyKitty901,HappyFamily776,PrettyFlowers642,DeliciousChocolate431,RainbowStars327,WonderfulWorld203
AdorablePuppy859,MagnificentMountains716,VibrantButterflies684,DecadentCupcakes461,JoyfulJazz299,InfiniteUniverse197
CutiePie943,MarvelousMoon762,GorgeousGarden639,DelectableIceCream421,BlissfulBirds317,RadiantSunset205
PlayfulKangaroo876,BountifulHarvest753,BeautifulButterfly620,DevouringDragon411,EnchantedForest309,AmazingAurora297
TinyTurtle961,MajesticCastle748,VelvetyViolets616,LusciousLemonade475,TwinklingStars352,WhimsicalWaterfall239
CuddlyCorgi892,GiganticGiraffe761,BloomingOrchids638,TastyTacos419,MysticalMist627,ThrillingThunderstorm215
SparklingUnicorn956,ColossalCactus747,SplendidSunset624,LusciousLollipop413,MythicalMermaid298,RadiantRainbow206
CheerfulChameleon875,MightyMammoth760,VerdantOak637,DecadentDonuts416,ShimmeringStars308,ResplendentRiver291
GleefulGoldfish860,ImpressiveIguana746,ExquisiteElegance623,SatisfyingS'mores415,EtherealEagle297,TranscendentTulip208
