A,B,C,D,E,F
qwertyuiopasdfghjklzxcvbnm,efg hijklmnop qrstuvwxyz,cde frg hijkl mnop qrstuvwxy,dfe ghi jkl mno pqr stuv wxyz,efr ghi jkl mn op qrst uvw xyza,fgr hji kln mno pqr stu vwxyz
qwertyuiopasdfghjklzxcvbnm,qrstuvwxyz ABCdefghijklmnop,hijkl mnop qrstuvwxyz ABC defghi,pqr stuv wxyz XYZABC defghi jkl mnop,hijkl mnop qrstuvwxyz ABC DEFGHIJKL MNO P,qrstuvwxyzaABCDEFGHIJKLMNOP
fgr tyui nlopa asdfghjkl zxcvbnm,efg hijkl mnop qrstuvwxyz,cde frg hijkl mnop qrstuvwxy,dfe ghi jkl mno pqr stuv wxyz,efr ghi jkl mn op qrst uvw xyza,fgr hji kln mno pqr stu vwxyz
qwertyuiopasdfghjklzxcvbnm,efg hijkl mnop qrstuvwxyz,hijkl mnop qrstuvwxyz ABCdefghi,pqr stuv wxyz XYZABC defghi jkl mnop,hijkl mnop qrstuvwxyz ABC DEFGHIJKL MNO P,qrstuvwxyzaABCDEFGHIJKLMNOP
qwertyuiopasdfghjklzxcvbnm,efg hijkl mnop qrstuvwxyz,cde frg hijkl mnop qrstuvwxy,dfe ghi jkl mno pqr stuv wxyz,efr ghi jkl mn op qrst uvw xyza,fgr hji kln mno pqr stu vwxyz
qwertyuiopasdfghjklzxcvbnm,qrstuvwxyz ABCdefghi,hijkl mnop qrstuvwxyz ABC defghi,pqr stuv wxyz XYZABC defghi jkl mnop,hijkl mnop qrstuvwxyz ABC DEFGHIJKL MNO P,qrstuvwxyzaABCDEFGHIJKLMNOP
qwertyuiopasdfghjklzxcvbnm,efg hijkl mnop qrstuvwxyz,cde frg hijkl mnop qrstuvwxy,dfe ghi jkl mno pqr stuv wxyz,efr ghi jkl mn op qrst uvw xyza,fgr hji kln mno pqr stu vwxyz
qwertyuiopasdfghjklzxcvbnm,qrstuvwxyz ABCdefghi,hijkl mnop qrstuvwxyz ABC defghi,pqr stuv wxyz XYZABC defghi jkl mnop,hijkl mnop qrstuvwxyz ABC DEFGHIJKL MNO P,qrstuvwxyzaABCDEFGHIJKLMNOP
qwertyuiopasdfghjklzxcvbnm,efg hijkl mnop qrstuvwxyz,cde frg hijkl mnop qrstuvwxy,dfe ghi jkl mno pqr stuv wxyz,efr ghi jkl mn op qrst uvw xyza,fgr hji kln mno pqr stu vwxyz
qwertyuiopasdfghjklzxcvbnm,qrstuvwxyz ABCdefghi,hijkl mnop qrstuvwxyz ABC defghi,pqr stuv wxyz XYZABC defghi jkl mnop,hijkl mnop qrstuvwxyz ABC DEFGHIJKL MNO P,qrstuvwxyzaABCDEFGHIJKLMNOP
