A,B,C,D,E,F
Groggle,Floop,Snargle,Flumplenook,Jinkerbell,Wizzle
Flibberdigibbet,Tiddlywomp,Snoodlewhomper,Fuzzyfungus,Whimsywook,Plooterkins
Rigglewobble,Flapsybounce,Mimsymouse,Floopyflimflam,Higgledyhoo,Fizzypop
Wizzerdoodle,Fudgletwist,Snurfflepuff,Flumpitron,Pixieflicker,Squirtywhirly
Glitterglue,Flibbertigibbet,Moonbeammousse,Fuzzyfunguspie,Whimsicalwhirlpool,Twinkletoes
Florpsley,Flabbergasted,Snorcle,Flibberdejibbet,Pixiepoof,Gigglemuffin
Razzleberry,Fizzypop,Snoodlewhomper,Floopyflimflam,Honeycombhullabaloo,Glittergazoom
Wizzlewhack,Floopstermagic,Moonbeambouncy,Flamboyantflibberty,Pixiedustpuffs,Honeytasticfrenzy
Glitterific,Fribblywobbly,Snugglesnout,Flippyflappy,Whimsywhorl,Twinkletootsie
Fancifulflutterby,Frolicsomeflibber,Mysticalmewset,Flutterwonderful,Happytwinklenet,Sparklytwirly
