A,B,C,D,E,F
Xylophone,Nectarine,Sprinkles,Fidget spinner,Hammock,Rubber chicken
Melodica,Tangerine,Pixie dust,Kite,Hedgehog,Unicorn horn
Accordion,Lemonade,Glitter,Pogo stick,Dragon egg,Mermaid tail
Ocarina,Strawberry shortcake,Candy cane,Kangaroo pocket,Cherry blossom,Vintage typewriter
Flute,S'mores,Bubblegum,Paper airplane,Telescope,Caramel macchiato
Piano,Mocha coffee,Lemony-lime sorbet,Paddleboat,Magic wand,Jellyfish
Harmonica,Raspberry tart,Foosball table,Skateboard,Cactus garden,Snow globe
Trombone,Blueberry pie,Roller skates,Paraglider,Sunflower,Treasure chest
Trumpet,Cranberry juice,Frisbee,Surfboard,Butterfly net,Fortune cookie
Xylophone,Sandcastle,Snowman kit,Hula hoop,Star gazing,Musical notes
