A,B,C,D,E,F
qwertyuiop,asdfghjkl,"zxcvbnm,.,",fdsafdsa,gtreksdf,hijklmnop
poiuytrewq,qwertyuioplk,jasdfghjklnr,ertyuinpqsdf,fdfghyujik,qwertyuiopmnb
yertyuiopak,dfgsaertyui,lkjhgfdsaqwe,tgtrewqsdfgh,fdkjsdhfgt,hjkgfsdaet
euiopasdf,qwertgyuhsd,fgaedcrsbh,jhksdfghkl,fdtvbuigef,rytrsewaqd
iouytrewq,pasoinasdf,dfghjklzx,ertryuiopnf,fihyskldug,gtrzeroilpm
dfghjklzx,poiuytfrew,fdsafghtre,qwertyuiopmf,gtrewqsdfgh,hjklmnopef
qwertyuiopnf,dfgsaertyui,lkjhgfdsaqwe,ertyuinpqsdf,fdfghyujik,rytrsewaqd
hjklmnopef,dfgsaertyui,qwertyuiopmnb,ertyuinpqsdf,fddgfhkyui,qwertyuiopak
fdtvbuigef,poiuytrewq,dfghjklzx,ertyuinpqsdf,gtrewqsdfgh,hjklmnopef
gtrewqsdfgh,dfgsaertyui,jasdfghjklnr,ertyuinpqsdf,fddgfhkyui,rytrsewaqd
