A,B,C,D,E,F
FastBall7,GoldenSunset8,MysticLake9,WhisperingWind10,ShimmeringBeach11,TidalRave12
NeonDragon6,MidnightStorm7,OceanBreeze8,EnchantedForest9,CosmicFire10,StarlightDance11
VelvetMoon4,SparklingSea6,ShadowDancer8,EtherealLight9,NebulaHaze10,LuminousSky11
JewelTeepee5,AuroraDawn7,MythicMountain9,RubyRiver10,SapphireShoreline11,AmethystAbyss12
GlitteringGemstone3,MistyMeadow6,CrystalCove8,MoonlitPath9,MorningSunrise10,TwilightGlow11
EnchantedEmerald7,MythicalMermaid9,SpectralSky10,MagicalForest11,EtherealEmber12,LuminousLagoon13
FantasyForge5,AstralAbyss7,CelestialCove8,InterdimensionalInlet9,DreamscapeDunes10,ReverieRidge11
WhimsicalWonderland3,MysticalMirage7,ShimmeringSands8,LuminousLakeside9,FancifulFjords10,ImaginaryIsles11
EtherealElven7,MythicMoorlands6,PixieParadise8,FaerieForest9,FaeFactions10,EnchantedEnclaves11
MysticalMarshes4,AquaticAbyss7,ShadowedSwamps8,AncientArboretum9,FabledFirn10,LegendaryLodges11
