A,B,C,D,E,F
Rndm73842,Tght6590,Nbsp21987,Fsoi13579,Lmlt9325,Gvwr8521
Qpqe4875,Kltu3279,Mnft8123,Jhgt4910,Pwes2587,Yxgn9437
Zlqe3758,Tfob2941,Nbsp2789,Fsoi1123,Lmlt5622,Gvwr2310
Rndm6482,Tght2590,Nbsp1287,Fsoi1829,Lmlt9123,Gvwr7354
Qpqe2475,Kltu3091,Mnft8823,Jhgt3710,Pwes1627,Yxgn8537
Zlqe4358,Tfob2191,Nbsp2987,Fsoi1323,Lmlt6722,Gvwr3104
Rndm4562,Tght9010,Nbsp2287,Fsoi1929,Lmlt8723,Gvwr4561
Qpqe5675,Kltu3691,Mnft9423,Jhgt4210,Pwes2877,Yxgn9037
Zlqe4875,Tfob1891,Nbsp2717,Fsoi1429,Lmlt8523,Gvwr5634
Rndm8762,Tght5410,Nbsp2087,Fsoi1629,Lmlt7523,Gvwr4351
