A,B,C,D,E,F
Groggle,Floop,Blerg,Snargle,Flumplenook,Jinky
Flibberdigibbet,Whirlywhomp,Blorpble,Snickerdoodle,Flooglewump,Wizzlepoot
Rigglepuff,Plooflesnort,Snooklewater,Fuzzyflaps,Wugglebuggle,Flumplestiltskin
Fiddlywink,Snurfle,Glizzle,Floopsterslush,Zinglewiffle,Higgledyhoo
Mewlingmangle,Squawksnout,Flobbertorious,Snazzlefrazzle,Tickletoe,Fuddlewump
Flamboyantflapdoodle,Snurcherpootle,Blorpleflimflam,Fizzlewobble,Whimsywoozle,Gizmojigger
Flipflopflimflam,Snickerdoodle,Flobulousflob,Floopsterflapper,Flumplestealth,Flippityfloop
Fribbletrillium,Snuffletots,Blorplebloop,Fuzzlewubble,Ticklethorntail,Flimflammelord
Floopyfloop,Snifflersnout,Fribbleflapper,Snazzlewizard,Gizmoflutterby,Floopsticksnout
Flossieflosspot,Snufflegruntle,Blorpleblip,Floopsterfloater,Flumplestoosh,Flimflammicat
