A	B	C	D	E	F
qwertyuiop	asdfghjkl	zxcvbnm	ENTER	RETURN	ESCAPE
fdsafsda	hgfdsgsd	kldjasdf	pqrstuvwxyz	yuiopasdf	aoeuytfsd
lkmnopqr	cdefghij	akltgyihs	dfttgdyws	ruijbkmlt	vgyhdbnts
tfbsddes	gnfseiuyt	evolucyjh	btertrykj	lksadasdf	iouyrtreb
eiwtgtuj	hfskldjfs	lktkdajs	gksfiatys	rtevybtcs	aosdluyfs
mnbvcxzq	poiuytrew	dkfltsad	jhgfedcba	yuiopashdf	dfghblns
kcmvbnds	ghfslkjh	lkefgsdh	bdfghyjs	ruiybctad	aouyrtfbs
dfgbdsmo	klmnopqr	truyougbs	cietgyuh	rtaeyucs	bsuytihs
hfskldju	gnfseiuyt	kltkjahs	btertrykj	lksadasdf	iouyrtreb
tfbsddes	gnfseiuyt	evolucyjh	btertrykj	lksadasdf	iouyrtreb
