A,B,C,D,E,F
FloralQuokka,GoldenSnail,TechnoToucan,MysticSeaTurtle,RustyRobot,EnchantedElephant
VelvetUnicorn,CosmicCrab,MythicMermaid,MagicalMongoose,WhimsicalWombat,ImaginaryIguana
PlushPegasus,JubilantJaguar,RhapsodicRaccoon,LuminousLemur,CharmingChipmunk,MirthfulMynah
SpritelySalamander,RadiantRaven,MysticalMink,LivelyLizard,BouncyBadger,PlayfulPorcupine
GlitzyGiraffe,GlowingGecko,ShimmeringSquirrel,TwinklingTortoise, SparklingSkunk,GlimmeringGoat
MistyMoth,PixiePenguin,WhimsicalWolf,MysteriousMole,CapriciousCat,KookyKangaroo
RainbowRhino,StarryStork,LuminescentLion,SpectacularSnake,GlitteringGazelle,DazzlingDeer
TropicalTiger,FieryFlamingo,SunnySiren,CoastalCrocodile,BeachyBear,OceanicOtter
MoonlightMarten,CrescentCrab,LunarLemonade,CelestialCaterpillar,StellarSparrow,NebulousNightingale
CosmicComet,GalacticGull,InterstellarIguana,CosmicCricket,StellarSnake,UniversalUakari
