A,B,C,D,E,F
qwertyuiopjasdf,ghjklzxcvbnm,abcdefghiijklmnop,qrstuvwxyzabcd,efg hijkl mnop qrstu,vwxyujnpiqrtsdaf
lkajsdfghjklzx,cvewmoryuytrtfds,pqrstuvwxyzabckln,fghijklmnopqurst,bdfghijklmnopqrt,gyhjklzxcvbnm
iotyrdmeasdfghjkl,nbvcxzldrfghjiops,jklmnopqrstuvwzyx,ghjklzxcvbnmpqrs,klmno pqrstuvwyxzdfgh,qwertyuiopashdfgh
kmnopqrstuvwyzdfgh,cvbnmtrsfghjiop,abcdefghiijklmnop,ghjklzxcvbnmpqrs,efg hijkl mnop qrstuv,vwxyujnpoqrtsdaklf
dfghijklmnopqrst,zxcvbnmtrfshjiop,pqrstuvwxyzabckln,ghjklzxcvbnmpqrs,bdfghijklmnopqrt,gyhjklzxcvbnm
qwertyuiopjasdfgh,cvbnmtrsfghjiop,abcdefghiijklmnop,ghjklzxcvbnmpqrs,efg hijkl mnop qrstuv,vwxyujnpoqrtsdaklf
fghijklmnopqrst,zxcvbnmtrfshjiop,pqrstuvwxyzabckln,ghjklzxcvbnmpqrs,bdfghijklmnopqrt,gyhjklzxcvbnm
iotyrdmeasdfghjkl,nbvcxzldrfghjiops,jklmnopqrstuvwyz,ghjklzxcvbnmpqrs,klmno pqrstuvwyxzdfgh,qwertyuiopashdfgh
kmnopqrstuvwyzdfgh,cvbnmtrsfghjiop,abcdefghiijklmnop,ghjklzxcvbnmpqrs,efg hijkl mnop qrstuv,vwxyujnpoqrtsdaklf
dfghijklmnopqrst,zxcvbnmtrfshjiop,pqrstuvwxyzabckln,ghjklzxcvbnmpqrs,bdfghijklmnopqrt,gyhjklzxcvbnm
