A	B	C	D	E	F
qwertyuiop	asdfghjkl	zxcvbnmoo	123456789	qwertyuiop	asdfghjkl
fdsafdsa	qwertyuioplkjhgfedcba	rftgyuhjklnbvpoiuytrewq	abcdefghijklmnopqrstuvwxyz	qwertyuiop	asdfghjkl
poiuytrdfgsa	qwertyuiopmqwertyuiopewq	zhfdygtnbuimfqwertyuioplkjhgfedcab	0123456789	qwertyuiop	asdfghjkl
xcvbnmolpqrf	qwertyuiopmlkjhgfedcbasdfghjkl	tgiodfsalkjhgfedcba	123456789	qwertyuiop	asdfghjkl
yuioplsdf	qwertyuioplnmkjhgfedcbaasdfghjkl	zxcvbnmooertrdfbsdfghjkl	abcdefghijklmnopqrstuvwxyz	qwertyuiop	asdfghjkl
fgryuiop	qwertyuiopmlkjhgfedcbasdfghjkl	tgiodfsalkjhgfedcba	0123456789	qwertyuiop	asdfghjkl
poiuytresdf	qwertyuiopmqwertyuiopewq	zhfdygtnbuimfqwertyuioplkjhgfedcab	abcdefghijklmnopqrstuvwxyz	qwertyuiop	asdfghjkl
xcvbnmoelp	qwertyuiopmlkjhgfedcbasdfghjkl	tgiodfsalkjhgfedcba	123456789	qwertyuiop	asdfghjkl
yuioplsdf	qwertyuioplnmkjhgfedcbaasdfghjkl	zxcvbnmooertrdfbsdfghjkl	abcdefghijklmnopqrstuvwxyz	qwertyuiop	asdfghjkl
fgryuiop	qwertyuiopmlkjhgfedcbasdfghjkl	tgiodfsalkjhgfedcba	0123456789	qwertyuiop	asdfghjkl
