A,B,C,D,E,F
LovelyPineapple743,CharmingKangaroo982,SplendidCactus567,TerrificTornado248,MarvelousMoonstone901,WonderfulWaterfall274
AdorableAardvark421,DelightfulDragonfly856,CheerfulChameleon637,FantasticFirefly928,IncredibleIceberg493,RemarkableRainbow259
BeautifulButterfly872,EnchantingEel615,GorgeousGiraffe469,HilariousHyena137,JubilantJackfruit752,KaleidoscopeKangaroo311
CaptivatingComet698,DazzlingDeer773,ElaborateElephant425,FlirtatiousFox811,GraciousGemstone541,IntriguingIguana294
MagnificentMushroom675,NimbleNarwhal882,OutstandingOstrich459,PeacefulParrotfish763,RadiantRaccoon234,TantalizingToucan428
BoldlyBubblegum249,DaringlyDolphin936,FiercelyFlamingo779,GentlyGoldenGazelle524,IntenselyIvy891,KindlyKangaroo273
CreativelyCactus741,EnergeticallyEchidna827,FearlesslyFennecfox239,GenerouslyGecko756,HappilyHedgehog522,LivelyLlama285
ImaginativelyImpala923,JubilantlyJacaranda782,KookilyKangaroo278,LaughablyLionfish749,NimblyNumbat561,OptimisticallyOtter247
PassionatelyPinguin269,QuirkilyQuelea897,RambunctiouslyRhinoceros558,SmilinglySalamander281,ThoughtfullyTapir764,VigorouslyVulture432
ZealouslyZebu252,BounciouslyBison785,CuriouslyCheetah546,DynamicallyDodo823,ExuberantlyElephant451,FieryFlamingos298
