A,B,C,D,E,F
qwertyuiop,asdfghjkl,zxcvbnm,QWERTYUIOP,ASDFGHJKL,ZXCVBNM
fghijklmn,pqrstuvwxyz,abcdefghi,FGHIJKLMN,PQRSTUVXYZ,ABCDEFGHI
lkjhgfedc,yuiopasdfgh,jksdhfgtnq,LKJHGEFCED,YUIOPASDFGH,JKSDFHTNQ
rtvwnbspoei,fjasdfghjkl,pqrtsdffghj,RTWNBOEIP,FJASDFGHJKL,PQRTSDFFFGH
gbsdfghjkln,poiuytrewq,bdfghijkls,GBSDFGHJKLN,POIUYTREWQ,BDFGHIKLS
tflsdaehrg,yujbfghnter,aghfdsaklt,TFLSDAEHRG,YUJBFSGHTEN,AGHFDSAKLT
nmlkkjsdfgh,fgsdfghjkl,aibfnmqtws,NLKJSDFGHKL,FGSDFHJKL,AIAFNMQtWS
jgkhdfgbnmp,opqrsftyuio,efghijkls,JGKHDFIOMP,OPQRSFTUYIO,EFGHIJKLS
kmqothdfgsao,tuyausdffeo,bdfghijklt,KMQOTHDFGSao,TUYAUSDFFEO,BDDFGHIKLT
ehjsdfghknp,fgyukjsdfgh,agdfghijknt,EHJSDFGHKNP,FGYUKJSDFGH,AGDFGHIKNT
