A	B	C	D	E	F
Groggle	Floop	Jinkies	Snargle	Flumplenook	Wizz Bang
Flibberdigibbet	Snoodlewhomper	Plooflepants	Rigglewattles	Snurffleburp	Tiddlywomp
Mugglebeastie	Snazzlefrazzle	Flibbertiggledy	Whirlytwirlywobble	Fuzzyfungus	Hiccupflimflam
Wizwozzer	Flobberchops	Snickerdoodle	Glittergloopers	Plopsterpop	Fizzypop
Wizardwobbler	Furryflapper	Snouttlebugle	Tickleytooter	Flossyflump	Hiccuphullabaloo
Mysterymuncher	Florpsnarfle	Snuffletwistle	Giggleglorp	Fizzypop	Wibblywobbly
Bouncybubblepocket	Flamboyantfloop	Snifflewiffle	Tweetytwist	Fizzypop	Hiccuphoot
Frolickingflibbertyjibbet	Snoodlewhimsy	Puddleglomp	Gigglemuffin	Fuzzypuff	Woozlewobble
Mirthfulmingle	Flabbergastedflap	Snickerdoodle	Glittergloopers	Plopsterpop	Hiccupflimflam
Wonderstruckwhimsy	Fancifulfloop	Snouttlebugle	Tickleytooter	Flossyflump	Hiccuphullabaloo
