A,B,C,D,E,F
y78hgfds,jklmno98,pqrstuvwxyz,cba753efg,dfghijklmnop,qwertyuiopasdf
zxcvbnmooo,fgtuytreee,lkjhgffdsa,bceaphpgtnu,hijklmnopqwer,qwertuytrewq
kjasdfghjkl,ertrtyuiop,dfgbsnmeex,poiuytrdfgs,dfghijklnop,qewrtoiabcdef
jvfghbgndcs,mlpqrtysda,hgfsddelpm,tfbvaiefdsgn,dfghiklmnpq,ujbsdgsfaqwe
ghjkgfedcba,nmpqtertdf,sdfghjklmno,bceaghjsdfg,dfghiklnopq,qweertydgsaf
fdkjhglnsae,kmlopeadrft,vgyuhdtfnb,aegtfrbsoip,dfghklmnopqr,wsdfghtuioale
bdfghjklsde,emtolufgsdf,dghksjfblpm,cfeagrthbipl,dfghiklnopqr,qatrwyuiolpsd
kltgaehhifds,npqterrdtae,fdbsndhfgmi,bcteeruofigsn,dfghklmsnpqr,qawsdfgihrete
ghjkgfedcba,emtolufgsdf,dfghjklmno,bceaghjsdfg,dfghiklnopqr,wsdfghtuioale
fdkjhglnsae,kmlopeadrft,vgyuhdtfnb,aegtfrbsoip,dfghklmnopqr,qatrwyuiolpsd
