A	B	C	D	E	F
Fantastic876	Spectacular342	Incredible901	Tremendous567	Marvelous213	Wonderful456
Luminous789	Magnificent261	Amazing927	Brilliant435	Beautiful678	Gorgeous342
Rhythmic843	Vibrant562	Charming917	Lively489	Cheerful632	Jubilant357
Radiant725	Enthusiastic309	Vivacious968	Peppy472	Spirited643	Effervescent291
Blissful864	Serene521	Tranquil937	Placid469	Calm702	Relaxed316
Intriguing793	Captivating651	Fascinating942	Alluring409	Engaging745	Gripping289
Admirable967	Respectable753	Notable821	Prestige536	Revered694	Venerated425
Unforgettable776	Remarkable485	Memorable928	Impressive657	Outstanding594	extraordinary292
Purelybeautiful633	Absolutelygorgeous946	Simplystunning857	Completelybreathtaking738	 Utterlylovely609	Entirelywondrous501
Whollyamazing879	Utterlyfantastical627	Purelymagical954	Totallyamazing723	Completelyfantastic592	Absolutelymarvelous436
