A	B	C	D	E	F
FantasticGizmo	WhirlyBird	SprinkleSnail	ThrillingToy	MysticalMushroom	GigglyGadget
RainbowRacer	TwirlyTornado	SparklySphere	JubilantJellyfish	ShimmeringSnowflake	ChucklingChameleon
MerryMoonstone	GleefulGiraffe	LivelyLemur	CheerfulChimpanzee	EnchantedEmerald	RadiantRaccoon
StarrySquid	PulsatingPenguin	GlitteringGoldfish	VibrantVulture	ShiningSunflower	GlowingGargoyle
SpectacularSnake	MagnificentMoth	BouncyBunny	RambunctiousRabbit	GlimmeringGemstone	JubilantJaguar
FieryFirefly	SparklingSnake	GlitteringGoldfish	ThunderousTurtle	ShimmeringStormcloud	LuminousLion
WhimsicalWombat	PlayfulPanda	CuriousCaterpillar	JollyJester	GlitzyGoldenGalaxies	BouncyBlueButterfly
TantalizingTiger	IncandescentIguana	DazzlingDragonfly	HilariousHyena	ShinyShootingStar	FlamboyantFlamingo
MirthfulMonkey	PeculiarPenguin	GleefulGorilla	RaucousRaven	GlimmeringGhost	FrolickingFox
SplendiferousSalamander	MagnanimousManta ray	GiggleworthyGiraffe	WonderfulWarthog	BrightBubblebath	JoyfulJackrabbit
