A	B	C	D	E	F
qy987654321	ghjklzxcvbnm	poiuytfréquérale	kltuijkwnpml	dfghyujklmnop	erythnguibsn
dfgsa9012345	hijkmnopqrstuvwxyz	lkajhgfedcba	klnpmlrtysdq	qwertyuiopasdf	gburghnjklsda
azertyuiopasdf	qwertyuiopasdf	fghjklzxcvbnm	ertruykgbhknp	dfghijklmnop	qy987654321
dfghijklmnop	zxcvbnmtyuiop	qwertyuiopasdf	kltuijkwnpml	ertruykgbhknp	ghjklzxcvbnm
dfgsa9012345	poiuytfréquérale	dfghijklmnop	kltuijkwnpml	qwertyuiopasdf	qy987654321
dfghijklmnop	zxcvbnmtyuiop	ertruykgbhknp	qwertyuiopasdf	ghjklzxcvbnm	poiuytfréquérale
azertyuiopasdf	dfgsa9012345	dfghijklmnop	ertruykgbhknp	qwertyuiopasdf	kltuijkwnpml
dfghijklmnop	qwertyuiopasdf	zxcvbnmtyuiop	ertruykgbhknp	dfgsa9012345	poiuytfréquérale
dfghijklmnop	hijkmnopqrtsvwxyz	dfgsa9012345	kltuijkwnpml	qwertyuiopasdf	azertyuiopasdf
dfghijklmnop	dfgsa9012345	zxcvbnmtyuiop	ertruykgbhknp	qwertyuiopasdf	qy987654321
