A,B,C,D,E,F
Groggle,Floop,Snargle,Flumplenook,Jinky,Wizzle
Flibberdigibbet,Whimsywoo,Tickletoe,Plooflesnoot,Snurfle,Zingpoof
Snazzlefrazzle,Flabbergasted,Razzleflash,Plopwizard,Snufflegiggle,Honkinghonk
Mugglemuffin,Fizzypop,Snurfflewhistle,Plooflepants,Snirklepoodle,Snooklefoon
Squibbletweet,Fuzzywumpers,Ticklytoes,Puddlesplash,Snickerdoodle,Whifflenose
Gizmojigger,Flibbertigibbet,Snufflepuffle,Plooflenook,Snazzerella,Honkinhonk
Snurtleflaps,Floopdiddle,Snickerwinkle,Ploofleduck,Snufflepuffle,Wizzlewhomp
Flimsyflimflam,Fizzypop,Snifflepuffle,Ploofletastic,Snufflehugemuffin,Honkinhonk
Snifflepuffle,Floopdiddle,Snickerwinkle,Ploofleduck,Snurtleflaps,Wizzlewhomp
Flabbergastly,Flipperdoodle,Snurrplepop,Ploofluncheon,Snickergiggledoo,Honkenhonk
