A,B,C,D,E,F
fGlkjhB90,qW38rX76,eRbFtP54,nJmM0K62,cTzLlY41,aHQ9mN89
gIhLlY83,pK21rX9,dRbFtP72,nJmM0K59,cTzLlY78,aHQ9mN91
hIhLlY4,qW38rX3,eRbFtP85,nJmM0K73,cTzLlY64,aHQ9mN81
iJhLlY3,pK21rX,dRbFtP93,nJmM0K67,cTzLlY52,aHQ9mN87
kJhLlY2,oW38rX,gRbFtP78,nJmM0K55,cTzLlY46,aHQ9mN93
lIhLlY5,pK21rX2,eRbFtP81,nJmM0K75,cTzLlY58,aHQ9mN97
mJhLlY4,qW38rX3,dRbFtP87,nJmM0K69,cTzLlY53,aHQ9mN85
nJhLlY6,oW38rX1,eRbFtP83,nJmM0K71,cTzLlY49,aHQ9mN95
pJhLlY7,qW38rX2,dRbFtP89,nJmM0K77,cTzLlY55,aHQ9mN93
sJhLlY8,oW38rX3,eRbFtP91,nJmM0K79,cTzLlY51,aHQ9mN99
