A,B,C,D,E,F
Kyrie23,Nova98,Sage45,Luna67,Riley89,Sparkle02
Questor17,Vesper82,Mythos56,Astrid41,Zara39,Galaxy11
Blaze85,Frost34,Flora72,Skye90,Ember61,Tornado29
Onyx46,Raven75,Luminous88,Starlight91,Moonstone77,Comet23
Journey59,Crystal25,Aurora87,Nebula99,Spectrum78,Harmony42
Unity52,Phoenix31,Solaris84,Stardust95,Misty79,Wonderland28
Echo47,Mirage79,Rainbow98,Fusion63,Lumina82,Nexus35
Gemini71,Nimbus86,Mystic49,Arcana93,Celestial75,Aetheria22
Sylph51,Zephyr95,Aquaria81,Luminar73,Aura69,Nebulon27
Cygnus91,Luminari84,NovaHawk61,Astral29,Orion88,Elysium45
