A,B,C,D,E,F
FastCar923,QuickDog754,SweetPiano812,LuckyChair609,CoolHat471,TastyIceCream210
GoldenKeyboard789,FluffyKitty921,RainbowUnicorn562,MysteryBox347,ShinyShoes493,SilverPiano189
WonderfulWhale654,AdorableDragon876,BeautifulButterfly432,MarvelousMoonstone321,PrettyPurple456,MagnificentMansion203
IncredibleIguana743,TerrificTurtle958,AmazingAardvark567,AwesomeAvocado341,BrilliantBicycle490,SuperStarfish279
AwkwardAlbatross783,CraftyCat561,EnchantingElephant927,FabulousFlamingo352,GeniusGiraffe489,MythicalMermaid265
VictoriousVulture691,AdmirableAlligator937,ExcellentEel421,LuminousLion358,PhilosophicalFox402,RadiantRaccoon218
FearlessFirebird541,BoldBadger753,CourageousCrab432,DaringDragon327,GallantGoat391,HeroicHedgehog202
MightyMongoose763,PuzzlingPython842,RemarkableRaccoon917,SpectacularSalamander381,TenaciousTiger359,WondrousWombat273
JubilantJaguar672,LivelyLemming531,NimbleNarwhal456,OptimisticOstrich329,PlayfulPenguin478,SmilingSea Otter249
HappyHummingbird791,KindKitten863,LovelyLlama421,MajesticMuntjac357,NobleNighthawk509,PeacefulPanda293
