A,B,C,D,E,F
fjord623,zxcvbnm90,qwertyuio74,pqrstuvwxyz53,abcdefghij72,klmnopqrstuv70
lion853,hunter476,safari314,mara421,sunset892,volcano210
crab592,beach987,surfboard610,tropical751,palmtree482,whalewatching879
kangaroo765,outback492,desert723,rainforest341,mountainrange257,sanddune834
dragonfly948,pond793,stream289,waterfall567,cloud921,rainbow876
butterfly562,garden718,flowerpot341,hummingbird895,vase472,quilt327
eagle789,sky456,sunset832,thunderstorm723,oceanview491,bear512
parrot691,treehouse387,island714,sandcastle523,seaurchin862,whalesong751
lollipop776,chocolate489,icing357, sprinkles293,cupcake821,marshmallow705
teddybear751,blanket462,pillow337,nightlight784,bookcase475,vase702
