A,B,C,D,E,F
qwertyuiop,asdfghjkl,zxcvbnm234567890,fefghiijklmnopqrstuvwxyz,abcdefghijklmnopqrstuvwxyz,QWERTYUIOPASDFGHJKLZXCVBNM234567890
jhbgrtfedcba,nhbgrtfedcab,yhbgrtfedcba,pqrtslkjhgfcda,poiuytrewqffsda,qwertyuiopasdfghjklzxcvbnm234567890
xcvbnm234567890,klnpmaorvceda,hfdxcbaeujord,lkmntrewaerhgfds,dfghyujikolpqr,qwertyuiopasdfghjklzxcvbnm234567890
qewrtafsazcd,dfghijklmnop,tuvwxyz234567890,qwertyuiopasdfghjklzxcvbnm234567890,abcdefghijklmnopqrstuvwxyz,QWERTYUIOPASDFGHJKLZXCVBNM234567890
ybtaopsmdelcr,nhtrebaofcsnda,zaxcvbnm234567890,feghijklmnopqrstuvwxyz,abcdefghijklmnopqrstuvwxyz,qwertyuiopasdfghjklzxcvbnm234567890
uibctaphneerc,nhaljksdhfcaeb,ozxcvbnm234567890,qwertuyuiopasdfghjklzxcvbnm234567890,abcdefghijklmnopqrstuvwxyz,qwertyuiopasdfghjklzxcvbnm234567890
jkghafrtedcba,lsdfghijklmnop,tzxcvbnm234567890,fghijklmnopqrstuvwxyz,abcdefghijklmnopqrstuvwxyz,qwertyuiopasdfghjklzxcvbnm234567890
qewrtafsdbce,dfghijklmnopqr,yzxcvbnm234567890,qwertyuiopasdfghjklzxcvbnm234567890,abcdefghijklmnopqrstuvwxyz,QWERTYUIOPASDFGHJKLZXCVBNM234567890
ufosadnertced,hdfgjklmnopqr,tzxcvbnm234567890,fghijklmnopqrstuvwxyz,abcdefghijklmnopqrstuvwxyz,qwertyuiopasdfghjklzxcvbnm234567890
jhggfedcbaiks,klmnoptvwzyx,dfghijklmnopqrstuvwxyz,qwertyuiopasdfghjklzxcvbnm234567890,abcdefghijklmnopqrstuvwxyz,qwertyuiopasdfghjklzxcvbnm234567890
