A,B,C,D,E,F
FastCar879,SunnyDay562,TastyCake347,LuckyCoin901,NiceHat278,SmartPhone115
MagicPen693,BeautifulSong211,HappyCat724,PowerfulComputer359,CoolSunglasses927,GeniusIdea812
SuperCellphone485,WonderfulWorld194,DeliciousIceCream763,IncredibleMachine239,BrilliantBrain718,PerfectPainting946
AmazingAdventure821,MagnificentMansion652,YummyYogurt367,RemarkableRocketship438,MarvelousMirror892,FantasticFountainpen779
GoldenGuitar342,BreathtakingButterfly759,SweetStrawberry963,AwesomeAstronaut421,IncredibleIceSkates837,SuperSoaringSwan725
HeavenlyHarpsichord561,EnchantedEnvironment475,JuicyJellyfish911,MindblowingMicroscopes369,MythicalMermaid848,IngeniousIllustrator753
VelvetViolin402,SpectacularSnowflake785,TropicalTornado923,MajesticMoonstone397,WhimsicalWatergun854,RadiantRubberduck731
SparklingStarfish578,GiganticGazelle703,MysticalMushroom905,TitanicTelescope379,EtherealElectricGuitar794,TranscendentTrombone658
ShimmeringSapphire836,ColossalCompass352,SophisticatedSubmarine941,RemarkableRhythm714,EnchantingElephant875,ProdigiousPyramid636
LuminousLlama750,MythologicalMaelstrom617,TantalizingTulip909,AstonishingAurora481,MiraculousMirrorball862,SupremeSonicSphere749
