A,B,C,D,E,F
Rando123,GroovyApple,FunkyChicken,ZestyOrange,SillyPineapple,TastyDonut
MysteryMunchies,HappyHamster,WhimsicalWombat,EnchantedElephant,JubilantJellyfish,RadiantRaccoon
LuckyLlama,BouncyBunny,SprightlySquirrel,MagnificentMongoose,VibrantVulture,CheerfulChipmunk
StarrySkydancer,GiddyGiraffe,TwirlyTurtle,SassySeal,PlayfulPenguin,SparklingSalamander
SpectacularSnake,HilariousHyena,TantalizingTiger,MarvelousMonkey,MirthfulMongoose,DazzlingDragonfly
MoonlightMelody,MerryMandrill,SunnySnowleopard,JubilantJaguar,RadiantRhino,GleefulGoat
UnforgettableUakari,LivelyLemur,AdventurousAnteater,IncredibleIguana,AmusingAardvark,BouncyBadger
RainbowRaccoon,FunkyFox,WhimsicalWarthog,SpectacularSparrow,Gigglesnail,ChucklingChameleon
MythicalMustang,GallantGazelle,Quickquokka,MajesticMongoose,RadiantRaven,VictoriousVulture
EnchantedEland,JoyfulJackrabbit,WondrousWarthog,FearlessFennec,DelightfulDeer,BeautifulButterfly
