A,B,C,D,E,F
FantasticGold567,SpectacularSilver890,IncredibleIron342,MindblowingCopper987,TerrificTitanium723,UnforgettableUranium456
AstoundingAurora921,RemarkableRuby437,SensationalSapphire758,ImpressiveIvory319,MarvelousMorganite582,FabulousFlintstone701
CharmingChrysoberyl420,EnchantingEmerald752,CaptivatingCoral938,RadiantRhodochrosite569,AlluringAmethyst876,GorgeousGarnet542
LuminousLapis789,BrilliantBeryl357,ShimmeringSunstone823,VibrantVerdigris593,DazzlingDiamond481,TantalizingTopaz957
MesmerizingMoonstone578,BreathtakingBloodstone721,ResplendentRose Quartz935,MajesticMalachite589,SparklingSunstone372,EnchantedEmerald891
WondrousWatermelon291,SpectacularSunset385,CharmingChocolate109,DazzlingDragonfruit853,IntriguingIcecream362,FascinatingFig Newton528
MythicalMermaid scales814,WhimsicalWaterfalls391,MysticalMushrooms709,FancifulFireworks585,EnchantedElves347,MagicalMoonbeams720
TremendousTornado378,WonderfulWaves459,SensationalStorms743,FormidableFirestorms581,MagnificentMeteors492,PhenomenalPlanetaryPowers759
MightyMushroom835,IncredibleIceberg721,AmazingAcacia trees341,InspiringIguanas503,UnforgettableUnicorns397,ThrillingThunderbolts571
AstonishingAardvark603,RemarkableRhinos375,CharmingChimpanzees759,FearlessFlamingos541,IngeniousIcefish832,LegendaryLemurs523
