A,B,C,D,E,F
qwertyuiop,asdfghjkl,zxcvbnmoo,34567890,abcdefghi,jklmnopqr
fgrehtyujac,poiuytrewq,lkjhgfedc,78901234,bceflnosp,qrsdcolee
tunbnevajst,pqrstuvwy,aegilopsd,98765432,fdsafgdfb,hnijkmqrt
kgbhtuynsx,qwrtertyuh,lfdoiergsa,45678901,cdefghijks,poiuytqrs
kltgyubnea,asdfghjkl,zxcvbnmoo,23456789,abcedfghik,jklmnopqrr
fgnimnraes,pqrstuvwy,aegilopsd,09876543,fdsafgdfb,hnijkmqrt
gblaekctad,oiuyrqtwfe,asmdfgjkln,56789012,aejhfglskm,qrsdtucele
ebngdfasls,wqertryfuio,lfdoigsmnp,87654321,fdsafgdfbs,hnijkmqrt
ktbyanraex,pqrstuvwy,aegilopsd,345678901,bceflnosp,qrsdtucele
fgnimnraes,oiuyrqtwfe,asmdfgjkln,789012345,fdsafgdfbs,hnijkmqrt
